Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;928;-;-;928;-;-
Wählende;411;44,3 %;-;411;44,3 %;-
Ungültige Stimmen;5;1,2 %;-;4;1,0 %;-
Gültige Stimmen;406;98,8 %;-;407;99,0 %;-
SPD;166;40,9 %;-;145;35,6 %;-
AfD;138;34,0 %;-;122;30,0 %;-
CDU;61;15,0 %;-;54;13,3 %;-
GRÜNE/B 90;9;2,2 %;-;20;4,9 %;-
DIE LINKE;14;3,4 %;-;6;1,5 %;-
BVB / FREIE WÄHLER;15;3,7 %;-;10;2,5 %;-
FDP;0;0,0 %;-;1;0,2 %;-
Tierschutzpartei;-;-;-;5;1,2 %;-
Plus;-;-;-;4;1,0 %;-
BSW;-;-;-;36;8,8 %;-
III. Weg;-;-;-;1;0,2 %;-
DKP;-;-;-;0;0,0 %;-
DLW;3;0,7 %;-;2;0,5 %;-
WU;-;-;-;1;0,2 %;-
