Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;729;-;-;729;-;-
Wählende;353;48,4 %;-;353;48,4 %;-
Ungültige Stimmen;2;0,6 %;-;2;0,6 %;-
Gültige Stimmen;351;99,4 %;-;351;99,4 %;-
SPD;169;48,1 %;-;160;45,6 %;-
AfD;112;31,9 %;-;95;27,1 %;-
CDU;37;10,5 %;-;23;6,6 %;-
GRÜNE/B 90;9;2,6 %;-;4;1,1 %;-
DIE LINKE;7;2,0 %;-;2;0,6 %;-
BVB / FREIE WÄHLER;12;3,4 %;-;7;2,0 %;-
FDP;2;0,6 %;-;1;0,3 %;-
Tierschutzpartei;-;-;-;11;3,1 %;-
Plus;-;-;-;5;1,4 %;-
BSW;-;-;-;41;11,7 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;1;0,3 %;-
DLW;3;0,9 %;-;0;0,0 %;-
WU;-;-;-;1;0,3 %;-
