Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;706;-;-;706;-;-
Wählende;397;56,2 %;-;397;56,2 %;-
Ungültige Stimmen;4;1,0 %;-;2;0,5 %;-
Gültige Stimmen;393;99,0 %;-;395;99,5 %;-
SPD;170;43,3 %;-;161;40,8 %;-
AfD;120;30,5 %;-;106;26,8 %;-
CDU;52;13,2 %;-;48;12,2 %;-
GRÜNE/B 90;4;1,0 %;-;6;1,5 %;-
DIE LINKE;19;4,8 %;-;5;1,3 %;-
BVB / FREIE WÄHLER;21;5,3 %;-;6;1,5 %;-
FDP;2;0,5 %;-;4;1,0 %;-
Tierschutzpartei;-;-;-;6;1,5 %;-
Plus;-;-;-;1;0,3 %;-
BSW;-;-;-;51;12,9 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;5;1,3 %;-;1;0,3 %;-
WU;-;-;-;0;0,0 %;-
