Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;412;-;-;412;-;-
Wählende;236;57,3 %;-;236;57,3 %;-
Ungültige Stimmen;1;0,4 %;-;0;0,0 %;-
Gültige Stimmen;235;99,6 %;-;236;100,0 %;-
SPD;87;37,0 %;-;75;31,8 %;-
AfD;80;34,0 %;-;77;32,6 %;-
CDU;37;15,7 %;-;28;11,9 %;-
GRÜNE/B 90;4;1,7 %;-;10;4,2 %;-
DIE LINKE;10;4,3 %;-;7;3,0 %;-
BVB / FREIE WÄHLER;11;4,7 %;-;7;3,0 %;-
FDP;3;1,3 %;-;1;0,4 %;-
Tierschutzpartei;-;-;-;2;0,8 %;-
Plus;-;-;-;2;0,8 %;-
BSW;-;-;-;23;9,7 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;1;0,4 %;-
DLW;3;1,3 %;-;3;1,3 %;-
WU;-;-;-;0;0,0 %;-
