Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;930;-;-;930;-;-
Wählende;388;41,7 %;-;388;41,7 %;-
Ungültige Stimmen;2;0,5 %;-;1;0,3 %;-
Gültige Stimmen;386;99,5 %;-;387;99,7 %;-
SPD;128;33,2 %;-;112;28,9 %;-
AfD;167;43,3 %;-;153;39,5 %;-
CDU;38;9,8 %;-;31;8,0 %;-
GRÜNE/B 90;7;1,8 %;-;14;3,6 %;-
DIE LINKE;17;4,4 %;-;10;2,6 %;-
BVB / FREIE WÄHLER;25;6,5 %;-;7;1,8 %;-
FDP;2;0,5 %;-;3;0,8 %;-
Tierschutzpartei;-;-;-;11;2,8 %;-
Plus;-;-;-;2;0,5 %;-
BSW;-;-;-;41;10,6 %;-
III. Weg;-;-;-;1;0,3 %;-
DKP;-;-;-;0;0,0 %;-
DLW;2;0,5 %;-;2;0,5 %;-
WU;-;-;-;0;0,0 %;-
