Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;665;-;-;665;-;-
Wählende;272;40,9 %;-;272;40,9 %;-
Ungültige Stimmen;5;1,8 %;-;5;1,8 %;-
Gültige Stimmen;267;98,2 %;-;267;98,2 %;-
SPD;76;28,5 %;-;66;24,7 %;-
AfD;131;49,1 %;-;114;42,7 %;-
CDU;28;10,5 %;-;25;9,4 %;-
GRÜNE/B 90;5;1,9 %;-;9;3,4 %;-
DIE LINKE;12;4,5 %;-;7;2,6 %;-
BVB / FREIE WÄHLER;13;4,9 %;-;4;1,5 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;6;2,2 %;-
Plus;-;-;-;4;1,5 %;-
BSW;-;-;-;29;10,9 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;2;0,7 %;-;1;0,4 %;-
WU;-;-;-;2;0,7 %;-
