Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;218;-;-;218;-;-
Wählende;122;56,0 %;-;122;56,0 %;-
Ungültige Stimmen;2;1,6 %;-;2;1,6 %;-
Gültige Stimmen;120;98,4 %;-;120;98,4 %;-
SPD;41;34,2 %;-;45;37,5 %;-
AfD;49;40,8 %;-;45;37,5 %;-
CDU;16;13,3 %;-;9;7,5 %;-
GRÜNE/B 90;1;0,8 %;-;2;1,7 %;-
DIE LINKE;6;5,0 %;-;2;1,7 %;-
BVB / FREIE WÄHLER;7;5,8 %;-;1;0,8 %;-
FDP;0;0,0 %;-;1;0,8 %;-
Tierschutzpartei;-;-;-;2;1,7 %;-
Plus;-;-;-;1;0,8 %;-
BSW;-;-;-;12;10,0 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;0;0,0 %;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
