Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;947;-;-;947;-;-
Wählende;439;46,4 %;-;439;46,4 %;-
Ungültige Stimmen;6;1,4 %;-;5;1,1 %;-
Gültige Stimmen;433;98,6 %;-;434;98,9 %;-
SPD;161;37,2 %;-;163;37,6 %;-
AfD;151;34,9 %;-;143;32,9 %;-
CDU;69;15,9 %;-;53;12,2 %;-
GRÜNE/B 90;7;1,6 %;-;4;0,9 %;-
DIE LINKE;10;2,3 %;-;9;2,1 %;-
BVB / FREIE WÄHLER;22;5,1 %;-;5;1,2 %;-
FDP;11;2,5 %;-;5;1,2 %;-
Tierschutzpartei;-;-;-;12;2,8 %;-
Plus;-;-;-;1;0,2 %;-
BSW;-;-;-;37;8,5 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;2;0,5 %;-;1;0,2 %;-
WU;-;-;-;1;0,2 %;-
