Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;98;-;-;98;-;-
Wählende;59;60,2 %;-;59;60,2 %;-
Ungültige Stimmen;1;1,7 %;-;1;1,7 %;-
Gültige Stimmen;58;98,3 %;-;58;98,3 %;-
SPD;23;39,7 %;-;23;39,7 %;-
AfD;26;44,8 %;-;23;39,7 %;-
CDU;6;10,3 %;-;5;8,6 %;-
GRÜNE/B 90;0;0,0 %;-;1;1,7 %;-
DIE LINKE;1;1,7 %;-;0;0,0 %;-
BVB / FREIE WÄHLER;2;3,4 %;-;1;1,7 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;4;6,9 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;0;0,0 %;-;1;1,7 %;-
WU;-;-;-;0;0,0 %;-
