Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;434;-;-;434;-;-
Wählende;244;56,2 %;+63;244;56,2 %;+63
Ungültige Stimmen;2;0,8 %;-11;2;0,8 %;-11
Gültige Stimmen;242;99,2 %;+11;242;99,2 %;+11
SPD;86;35,5 %;+01;70;28,9 %;-55
AfD;112;46,3 %;+181;100;41,3 %;+140
CDU;22;9,1 %;-10;12;5,0 %;-32
GRÜNE/B 90;1;0,4 %;-68;2;0,8 %;-59
DIE LINKE;8;3,3 %;-87;7;2,9 %;-91
BVB / FREIE WÄHLER;7;2,9 %;-33;2;0,8 %;-44
FDP;1;0,4 %;-05;1;0,4 %;-10
Tierschutzpartei;-;-;-;10;4,1 %;-02
Plus;-;-;-;1;0,4 %;-01
BSW;-;-;-;30;12,4 %;+124
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;5;2,1 %;+21;6;2,5 %;+25
WU;-;-;-;1;0,4 %;+04
