Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;143;-;-;143;-;-
Wählende;94;65,7 %;-;94;65,7 %;-
Ungültige Stimmen;3;3,2 %;-;0;0,0 %;-
Gültige Stimmen;91;96,8 %;-;94;100,0 %;-
SPD;26;28,6 %;-;27;28,7 %;-
AfD;39;42,9 %;-;36;38,3 %;-
CDU;11;12,1 %;-;8;8,5 %;-
GRÜNE/B 90;1;1,1 %;-;1;1,1 %;-
DIE LINKE;10;11,0 %;-;8;8,5 %;-
BVB / FREIE WÄHLER;1;1,1 %;-;1;1,1 %;-
FDP;1;1,1 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;2;2,1 %;-
Plus;-;-;-;1;1,1 %;-
BSW;-;-;-;10;10,6 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;2;2,2 %;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
