Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;291;-;-;291;-;-
Wählende;176;60,5 %;-;176;60,5 %;-
Ungültige Stimmen;1;0,6 %;-;0;0,0 %;-
Gültige Stimmen;175;99,4 %;-;176;100,0 %;-
SPD;75;42,9 %;-;63;35,8 %;-
AfD;69;39,4 %;-;63;35,8 %;-
CDU;13;7,4 %;-;12;6,8 %;-
GRÜNE/B 90;1;0,6 %;-;5;2,8 %;-
DIE LINKE;10;5,7 %;-;6;3,4 %;-
BVB / FREIE WÄHLER;6;3,4 %;-;4;2,3 %;-
FDP;1;0,6 %;-;3;1,7 %;-
Tierschutzpartei;-;-;-;2;1,1 %;-
Plus;-;-;-;1;0,6 %;-
BSW;-;-;-;15;8,5 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;0;0,0 %;-;1;0,6 %;-
WU;-;-;-;1;0,6 %;-
