Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.140;-;-;1.14;-;-
Wählende;528;46,3 %;-;528.0;46,3 %;-
Ungültige Stimmen;4;0,8 %;-;2.0;0,4 %;-
Gültige Stimmen;524;99,2 %;-;526.0;99,6 %;-
SPD;225;42,9 %;-;214.0;40,7 %;-
AfD;150;28,6 %;-;137.0;26,0 %;-
CDU;81;15,5 %;-;65.0;12,4 %;-
GRÜNE/B 90;25;4,8 %;-;43.0;8,2 %;-
DIE LINKE;18;3,4 %;-;6.0;1,1 %;-
BVB / FREIE WÄHLER;17;3,2 %;-;8.0;1,5 %;-
FDP;8;1,5 %;-;7.0;1,3 %;-
Tierschutzpartei;-;-;-;4.0;0,8 %;-
Plus;-;-;-;5.0;1,0 %;-
BSW;-;-;-;37.0;7,0 %;-
III. Weg;-;-;-;0.0;0,0 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;-;-;-;0.0;0,0 %;-
WU;-;-;-;0.0;0,0 %;-
