Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.170;-;-;1.17;-;-
Wählende;513;43,8 %;-;513.0;43,8 %;-
Ungültige Stimmen;4;0,8 %;-;4.0;0,8 %;-
Gültige Stimmen;509;99,2 %;-;509.0;99,2 %;-
SPD;193;37,9 %;-;173.0;34,0 %;-
AfD;144;28,3 %;-;140.0;27,5 %;-
CDU;108;21,2 %;-;80.0;15,7 %;-
GRÜNE/B 90;26;5,1 %;-;56.0;11,0 %;-
DIE LINKE;14;2,8 %;-;9.0;1,8 %;-
BVB / FREIE WÄHLER;15;2,9 %;-;6.0;1,2 %;-
FDP;9;1,8 %;-;5.0;1,0 %;-
Tierschutzpartei;-;-;-;3.0;0,6 %;-
Plus;-;-;-;1.0;0,2 %;-
BSW;-;-;-;35.0;6,9 %;-
III. Weg;-;-;-;0.0;0,0 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;-;-;-;1.0;0,2 %;-
WU;-;-;-;0.0;0,0 %;-
