Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;991;-;-;991;-;-
Wählende;450;45,4 %;-;450;45,4 %;-
Ungültige Stimmen;3;0,7 %;-;3;0,7 %;-
Gültige Stimmen;447;99,3 %;-;447;99,3 %;-
SPD;159;35,6 %;-;150;33,6 %;-
AfD;179;40,0 %;-;164;36,7 %;-
CDU;44;9,8 %;-;32;7,2 %;-
GRÜNE/B 90;7;1,6 %;-;9;2,0 %;-
DIE LINKE;25;5,6 %;-;14;3,1 %;-
BVB / FREIE WÄHLER;22;4,9 %;-;7;1,6 %;-
FDP;5;1,1 %;-;3;0,7 %;-
Tierschutzpartei;-;-;-;15;3,4 %;-
Plus;6;1,3 %;-;1;0,2 %;-
BSW;-;-;-;51;11,4 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;1;0,2 %;-
