Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.160;-;-;1.16;-;-
Wählende;473;40,8 %;-;473.0;40,8 %;-
Ungültige Stimmen;10;2,1 %;-;8.0;1,7 %;-
Gültige Stimmen;463;97,9 %;-;465.0;98,3 %;-
SPD;155;33,5 %;-;129.0;27,7 %;-
AfD;198;42,8 %;-;191.0;41,1 %;-
CDU;46;9,9 %;-;26.0;5,6 %;-
GRÜNE/B 90;8;1,7 %;-;11.0;2,4 %;-
DIE LINKE;25;5,4 %;-;15.0;3,2 %;-
BVB / FREIE WÄHLER;21;4,5 %;-;10.0;2,2 %;-
FDP;2;0,4 %;-;1.0;0,2 %;-
Tierschutzpartei;-;-;-;18.0;3,9 %;-
Plus;8;1,7 %;-;6.0;1,3 %;-
BSW;-;-;-;54.0;11,6 %;-
III. Weg;-;-;-;0.0;0,0 %;-
DKP;-;-;-;1.0;0,2 %;-
DLW;-;-;-;1.0;0,2 %;-
WU;-;-;-;2.0;0,4 %;-
