Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.024;-;-;1.024;-;-
Wählende;475;46,4 %;-;475.0;46,4 %;-
Ungültige Stimmen;8;1,7 %;-;7.0;1,5 %;-
Gültige Stimmen;467;98,3 %;-;468.0;98,5 %;-
SPD;158;33,8 %;-;134.0;28,6 %;-
AfD;164;35,1 %;-;151.0;32,3 %;-
CDU;79;16,9 %;-;70.0;15,0 %;-
GRÜNE/B 90;14;3,0 %;-;22.0;4,7 %;-
DIE LINKE;17;3,6 %;-;12.0;2,6 %;-
BVB / FREIE WÄHLER;18;3,9 %;-;10.0;2,1 %;-
FDP;7;1,5 %;-;6.0;1,3 %;-
Tierschutzpartei;-;-;-;14.0;3,0 %;-
Plus;10;2,1 %;-;5.0;1,1 %;-
BSW;-;-;-;39.0;8,3 %;-
III. Weg;-;-;-;0.0;0,0 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;-;-;-;2.0;0,4 %;-
WU;-;-;-;3.0;0,6 %;-
