Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;425;-;-;425;-;-
Wählende;249;58,6 %;+136;249;58,6 %;+136
Ungültige Stimmen;7;2,8 %;+10;1;0,4 %;-11
Gültige Stimmen;242;97,2 %;-10;248;99,6 %;+11
SPD;51;21,1 %;-38;58;23,4 %;-42
AfD;109;45,0 %;+180;106;42,7 %;+156
CDU;39;16,1 %;+07;32;12,9 %;-14
GRÜNE/B 90;5;2,1 %;-51;4;1,6 %;-56
DIE LINKE;2;0,8 %;-70;4;1,6 %;-62
BVB / FREIE WÄHLER;33;13,6 %;-08;14;5,6 %;-13
FDP;1;0,4 %;-27;0;0,0 %;-34
Tierschutzpartei;-;-;-;4;1,6 %;-27
Plus;2;0,8 %;+08;2;0,8 %;-04
BSW;-;-;-;22;8,9 %;+89
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;1;0,4 %;+04
WU;-;-;-;1;0,4 %;+04
