Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;420;-;-;420;-;-
Wählende;237;56,4 %;-;237;56,4 %;-
Ungültige Stimmen;8;3,4 %;-;4;1,7 %;-
Gültige Stimmen;229;96,6 %;-;233;98,3 %;-
SPD;71;31,0 %;-;66;28,3 %;-
AfD;85;37,1 %;-;80;34,3 %;-
CDU;49;21,4 %;-;32;13,7 %;-
GRÜNE/B 90;0;0,0 %;-;1;0,4 %;-
DIE LINKE;2;0,9 %;-;1;0,4 %;-
BVB / FREIE WÄHLER;15;6,6 %;-;5;2,1 %;-
FDP;2;0,9 %;-;1;0,4 %;-
Tierschutzpartei;-;-;-;9;3,9 %;-
Plus;5;2,2 %;-;5;2,1 %;-
BSW;-;-;-;31;13,3 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;0,9 %;-
WU;-;-;-;0;0,0 %;-
