Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;776;-;-;776;-;-
Wählende;404;52,1 %;+38;404;52,1 %;+38
Ungültige Stimmen;4;1,0 %;-07;1;0,2 %;-11
Gültige Stimmen;400;99,0 %;+07;403;99,8 %;+11
SPD;110;27,5 %;+03;98;24,3 %;-30
AfD;182;45,5 %;+187;159;39,5 %;+132
CDU;36;9,0 %;-99;28;6,9 %;-107
GRÜNE/B 90;4;1,0 %;-69;10;2,5 %;-56
DIE LINKE;16;4,0 %;-49;5;1,2 %;-74
BVB / FREIE WÄHLER;37;9,2 %;+21;16;4,0 %;-11
FDP;10;2,5 %;-06;7;1,7 %;-17
Tierschutzpartei;-;-;-;15;3,7 %;+11
Plus;5;1,2 %;+12;2;0,5 %;-03
BSW;-;-;-;59;14,6 %;+146
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;0;0,0 %;00
WU;-;-;-;4;1,0 %;+10
