Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.246;-;-;1.246;-;-
Wählende;628;50,4 %;-;628.0;50,4 %;-
Ungültige Stimmen;9;1,4 %;-;5.0;0,8 %;-
Gültige Stimmen;619;98,6 %;-;623.0;99,2 %;-
SPD;231;37,3 %;-;207.0;33,2 %;-
AfD;226;36,5 %;-;216.0;34,7 %;-
CDU;90;14,5 %;-;75.0;12,0 %;-
GRÜNE/B 90;7;1,1 %;-;14.0;2,2 %;-
DIE LINKE;12;1,9 %;-;14.0;2,2 %;-
BVB / FREIE WÄHLER;36;5,8 %;-;10.0;1,6 %;-
FDP;7;1,1 %;-;2.0;0,3 %;-
Tierschutzpartei;-;-;-;20.0;3,2 %;-
Plus;10;1,6 %;-;7.0;1,1 %;-
BSW;-;-;-;53.0;8,5 %;-
III. Weg;-;-;-;0.0;0,0 %;-
DKP;-;-;-;1.0;0,2 %;-
DLW;-;-;-;3.0;0,5 %;-
WU;-;-;-;1.0;0,2 %;-
