Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.025;-;-;1.025;-;-
Wählende;532;51,9 %;-;532.0;51,9 %;-
Ungültige Stimmen;9;1,7 %;-;6.0;1,1 %;-
Gültige Stimmen;523;98,3 %;-;526.0;98,9 %;-
SPD;234;44,7 %;-;197.0;37,5 %;-
AfD;121;23,1 %;-;109.0;20,7 %;-
CDU;71;13,6 %;-;57.0;10,8 %;-
GRÜNE/B 90;27;5,2 %;-;46.0;8,7 %;-
DIE LINKE;23;4,4 %;-;10.0;1,9 %;-
BVB / FREIE WÄHLER;19;3,6 %;-;6.0;1,1 %;-
FDP;6;1,1 %;-;6.0;1,1 %;-
Tierschutzpartei;-;-;-;11.0;2,1 %;-
Plus;22;4,2 %;-;9.0;1,7 %;-
BSW;-;-;-;71.0;13,5 %;-
III. Weg;-;-;-;0.0;0,0 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;-;-;-;1.0;0,2 %;-
WU;-;-;-;3.0;0,6 %;-
