Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;646;-;-;646;-;-
Wählende;262;40,6 %;-;262;40,6 %;-
Ungültige Stimmen;4;1,5 %;-;3;1,1 %;-
Gültige Stimmen;258;98,5 %;-;259;98,9 %;-
SPD;96;37,2 %;-;89;34,4 %;-
AfD;96;37,2 %;-;84;32,4 %;-
CDU;24;9,3 %;-;14;5,4 %;-
GRÜNE/B 90;5;1,9 %;-;8;3,1 %;-
DIE LINKE;11;4,3 %;-;15;5,8 %;-
BVB / FREIE WÄHLER;8;3,1 %;-;5;1,9 %;-
FDP;7;2,7 %;-;2;0,8 %;-
Tierschutzpartei;-;-;-;5;1,9 %;-
Plus;8;3,1 %;-;3;1,2 %;-
BSW;-;-;-;31;12,0 %;-
III. Weg;3;1,2 %;-;2;0,8 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,4 %;-
WU;-;-;-;0;0,0 %;-
