Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;878;-;-;878;-;-
Wählende;343;39,1 %;-;343;39,1 %;-
Ungültige Stimmen;5;1,5 %;-;4;1,2 %;-
Gültige Stimmen;338;98,5 %;-;339;98,8 %;-
SPD;105;31,1 %;-;86;25,4 %;-
AfD;168;49,7 %;-;151;44,5 %;-
CDU;29;8,6 %;-;18;5,3 %;-
GRÜNE/B 90;5;1,5 %;-;7;2,1 %;-
DIE LINKE;13;3,8 %;-;13;3,8 %;-
BVB / FREIE WÄHLER;7;2,1 %;-;3;0,9 %;-
FDP;1;0,3 %;-;1;0,3 %;-
Tierschutzpartei;-;-;-;7;2,1 %;-
Plus;5;1,5 %;-;7;2,1 %;-
BSW;-;-;-;41;12,1 %;-
III. Weg;5;1,5 %;-;1;0,3 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,3 %;-
WU;-;-;-;3;0,9 %;-
