Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;99;-;-;99;-;-
Wählende;51;51,5 %;-;51;51,5 %;-
Ungültige Stimmen;0;0,0 %;-;0;0,0 %;-
Gültige Stimmen;51;100,0 %;-;51;100,0 %;-
SPD;9;17,6 %;-;6;11,8 %;-
AfD;29;56,9 %;-;26;51,0 %;-
CDU;8;15,7 %;-;9;17,6 %;-
GRÜNE/B 90;1;2,0 %;-;2;3,9 %;-
DIE LINKE;2;3,9 %;-;2;3,9 %;-
BVB / FREIE WÄHLER;0;0,0 %;-;0;0,0 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;2;3,9 %;-;1;2,0 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;5;9,8 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
