Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;386;-;-;386;-;-
Wählende;164;42,5 %;-;164;42,5 %;-
Ungültige Stimmen;5;3,0 %;-;3;1,8 %;-
Gültige Stimmen;159;97,0 %;-;161;98,2 %;-
SPD;51;32,1 %;-;52;32,3 %;-
AfD;52;32,7 %;-;53;32,9 %;-
CDU;34;21,4 %;-;24;14,9 %;-
GRÜNE/B 90;4;2,5 %;-;4;2,5 %;-
DIE LINKE;3;1,9 %;-;3;1,9 %;-
BVB / FREIE WÄHLER;7;4,4 %;-;0;0,0 %;-
FDP;1;0,6 %;-;0;0,0 %;-
Tierschutzpartei;7;4,4 %;-;2;1,2 %;-
Plus;-;-;-;2;1,2 %;-
BSW;-;-;-;21;13,0 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
