Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;346;-;-;346;-;-
Wählende;191;55,2 %;-;191;55,2 %;-
Ungültige Stimmen;2;1,0 %;-;0;0,0 %;-
Gültige Stimmen;189;99,0 %;-;191;100,0 %;-
SPD;42;22,2 %;-;37;19,4 %;-
AfD;96;50,8 %;-;89;46,6 %;-
CDU;26;13,8 %;-;17;8,9 %;-
GRÜNE/B 90;1;0,5 %;-;3;1,6 %;-
DIE LINKE;3;1,6 %;-;2;1,0 %;-
BVB / FREIE WÄHLER;12;6,3 %;-;5;2,6 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;9;4,8 %;-;5;2,6 %;-
Plus;-;-;-;1;0,5 %;-
BSW;-;-;-;30;15,7 %;-
III. Weg;-;-;-;2;1,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
