Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;164;-;-;164;-;-
Wählende;100;61,0 %;-;100;61,0 %;-
Ungültige Stimmen;2;2,0 %;-;1;1,0 %;-
Gültige Stimmen;98;98,0 %;-;99;99,0 %;-
SPD;15;15,3 %;-;16;16,2 %;-
AfD;58;59,2 %;-;49;49,5 %;-
CDU;10;10,2 %;-;8;8,1 %;-
GRÜNE/B 90;0;0,0 %;-;0;0,0 %;-
DIE LINKE;2;2,0 %;-;2;2,0 %;-
BVB / FREIE WÄHLER;12;12,2 %;-;4;4,0 %;-
FDP;1;1,0 %;-;0;0,0 %;-
Tierschutzpartei;0;0,0 %;-;3;3,0 %;-
Plus;-;-;-;1;1,0 %;-
BSW;-;-;-;14;14,1 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;1,0 %;-
WU;-;-;-;1;1,0 %;-
