Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;123;-;-;123;-;-
Wählende;83;67,5 %;-;83;67,5 %;-
Ungültige Stimmen;2;2,4 %;-;2;2,4 %;-
Gültige Stimmen;81;97,6 %;-;81;97,6 %;-
SPD;30;37,0 %;-;24;29,6 %;-
AfD;33;40,7 %;-;32;39,5 %;-
CDU;11;13,6 %;-;10;12,3 %;-
GRÜNE/B 90;0;0,0 %;-;2;2,5 %;-
DIE LINKE;0;0,0 %;-;1;1,2 %;-
BVB / FREIE WÄHLER;4;4,9 %;-;0;0,0 %;-
FDP;1;1,2 %;-;0;0,0 %;-
Tierschutzpartei;2;2,5 %;-;2;2,5 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;8;9,9 %;-
III. Weg;-;-;-;1;1,2 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;1,2 %;-
WU;-;-;-;0;0,0 %;-
