Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;183;-;-;183;-;-
Wählende;102;55,7 %;-;102;55,7 %;-
Ungültige Stimmen;1;1,0 %;-;0;0,0 %;-
Gültige Stimmen;101;99,0 %;-;102;100,0 %;-
SPD;46;45,5 %;-;41;40,2 %;-
AfD;17;16,8 %;-;16;15,7 %;-
CDU;20;19,8 %;-;10;9,8 %;-
GRÜNE/B 90;1;1,0 %;-;7;6,9 %;-
DIE LINKE;7;6,9 %;-;3;2,9 %;-
BVB / FREIE WÄHLER;7;6,9 %;-;3;2,9 %;-
FDP;2;2,0 %;-;2;2,0 %;-
Tierschutzpartei;1;1,0 %;-;2;2,0 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;16;15,7 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;1,0 %;-
WU;-;-;-;1;1,0 %;-
