Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;343;-;-;343;-;-
Wählende;186;54,2 %;+14;186;54,2 %;+14
Ungültige Stimmen;6;3,2 %;+19;4;2,2 %;+12
Gültige Stimmen;180;96,8 %;-19;182;97,8 %;-12
SPD;63;35,0 %;+108;55;30,2 %;+24
AfD;61;33,9 %;+130;60;33,0 %;+114
CDU;25;13,9 %;-31;17;9,3 %;-74
GRÜNE/B 90;4;2,2 %;-158;5;2,7 %;-89
DIE LINKE;12;6,7 %;-53;7;3,8 %;-86
BVB / FREIE WÄHLER;6;3,3 %;-04;2;1,1 %;-13
FDP;6;3,3 %;+13;1;0,5 %;-26
Tierschutzpartei;3;1,7 %;+17;6;3,3 %;+07
Plus;-;-;-17;2;1,1 %;-06
BSW;-;-;-;26;14,3 %;+143
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;0;0,0 %;00
WU;-;-;-;1;0,5 %;+05
