Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;124;-;-;124;-;-
Wählende;65;52,4 %;-;65;52,4 %;-
Ungültige Stimmen;1;1,5 %;-;1;1,5 %;-
Gültige Stimmen;64;98,5 %;-;64;98,5 %;-
SPD;20;31,2 %;-;15;23,4 %;-
AfD;23;35,9 %;-;22;34,4 %;-
CDU;8;12,5 %;-;8;12,5 %;-
GRÜNE/B 90;6;9,4 %;-;8;12,5 %;-
DIE LINKE;3;4,7 %;-;1;1,6 %;-
BVB / FREIE WÄHLER;3;4,7 %;-;4;6,2 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;1;1,6 %;-;1;1,6 %;-
Plus;-;-;-;1;1,6 %;-
BSW;-;-;-;4;6,2 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
