Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;903;-;-;903;-;-
Wählende;470;52,0 %;-;470;52,0 %;-
Ungültige Stimmen;9;1,9 %;-;1;0,2 %;-
Gültige Stimmen;461;98,1 %;-;469;99,8 %;-
SPD;173;37,5 %;-;157;33,5 %;-
AfD;175;38,0 %;-;156;33,3 %;-
CDU;45;9,8 %;-;40;8,5 %;-
GRÜNE/B 90;7;1,5 %;-;14;3,0 %;-
DIE LINKE;26;5,6 %;-;13;2,8 %;-
BVB / FREIE WÄHLER;18;3,9 %;-;6;1,3 %;-
FDP;3;0,7 %;-;3;0,6 %;-
Tierschutzpartei;14;3,0 %;-;6;1,3 %;-
Plus;-;-;-;2;0,4 %;-
BSW;-;-;-;70;14,9 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;2;0,4 %;-
