Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;193;-;-;193;-;-
Wählende;106;54,9 %;-;106;54,9 %;-
Ungültige Stimmen;1;0,9 %;-;0;0,0 %;-
Gültige Stimmen;105;99,1 %;-;106;100,0 %;-
SPD;26;24,8 %;-;21;19,8 %;-
AfD;36;34,3 %;-;29;27,4 %;-
CDU;18;17,1 %;-;14;13,2 %;-
GRÜNE/B 90;7;6,7 %;-;9;8,5 %;-
DIE LINKE;6;5,7 %;-;6;5,7 %;-
BVB / FREIE WÄHLER;8;7,6 %;-;4;3,8 %;-
FDP;2;1,9 %;-;1;0,9 %;-
Tierschutzpartei;2;1,9 %;-;1;0,9 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;21;19,8 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
