Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;208;-;-;208;-;-
Wählende;133;63,9 %;-;133;63,9 %;-
Ungültige Stimmen;1;0,8 %;-;2;1,5 %;-
Gültige Stimmen;132;99,2 %;-;131;98,5 %;-
SPD;43;32,6 %;-;37;28,2 %;-
AfD;47;35,6 %;-;38;29,0 %;-
CDU;18;13,6 %;-;15;11,5 %;-
GRÜNE/B 90;1;0,8 %;-;2;1,5 %;-
DIE LINKE;4;3,0 %;-;3;2,3 %;-
BVB / FREIE WÄHLER;13;9,8 %;-;7;5,3 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;6;4,5 %;-;2;1,5 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;27;20,6 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
