Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;100;-;-;100;-;-
Wählende;58;58,0 %;-;58;58,0 %;-
Ungültige Stimmen;2;3,4 %;-;0;0,0 %;-
Gültige Stimmen;56;96,6 %;-;58;100,0 %;-
SPD;17;30,4 %;-;11;19,0 %;-
AfD;28;50,0 %;-;27;46,6 %;-
CDU;8;14,3 %;-;6;10,3 %;-
GRÜNE/B 90;0;0,0 %;-;4;6,9 %;-
DIE LINKE;1;1,8 %;-;1;1,7 %;-
BVB / FREIE WÄHLER;2;3,6 %;-;1;1,7 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;-;-;-;1;1,7 %;-
BSW;-;-;-;7;12,1 %;-
III. Weg;0;0,0 %;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
