Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;326;-;-;326;-;-
Wählende;152;46,6 %;-;152;46,6 %;-
Ungültige Stimmen;4;2,6 %;-;0;0,0 %;-
Gültige Stimmen;148;97,4 %;-;152;100,0 %;-
SPD;53;35,8 %;-;46;30,3 %;-
AfD;61;41,2 %;-;53;34,9 %;-
CDU;24;16,2 %;-;15;9,9 %;-
GRÜNE/B 90;1;0,7 %;-;6;3,9 %;-
DIE LINKE;2;1,4 %;-;2;1,3 %;-
BVB / FREIE WÄHLER;7;4,7 %;-;3;2,0 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;1;0,7 %;-
Plus;-;-;-;1;0,7 %;-
BSW;-;-;-;23;15,1 %;-
III. Weg;0;0,0 %;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,7 %;-
WU;-;-;-;1;0,7 %;-
