Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;279;-;-;279;-;-
Wählende;156;55,9 %;-;156;55,9 %;-
Ungültige Stimmen;0;0,0 %;-;0;0,0 %;-
Gültige Stimmen;156;100,0 %;-;156;100,0 %;-
SPD;33;21,2 %;-;27;17,3 %;-
AfD;96;61,5 %;-;88;56,4 %;-
CDU;18;11,5 %;-;15;9,6 %;-
GRÜNE/B 90;1;0,6 %;-;1;0,6 %;-
DIE LINKE;7;4,5 %;-;0;0,0 %;-
BVB / FREIE WÄHLER;1;0,6 %;-;0;0,0 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;3;1,9 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;19;12,2 %;-
III. Weg;0;0,0 %;-;0;0,0 %;-
DKP;-;-;-;1;0,6 %;-
DLW;-;-;-;2;1,3 %;-
WU;-;-;-;0;0,0 %;-
