Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;236;-;-;236;-;-
Wählende;124;52,5 %;-;124;52,5 %;-
Ungültige Stimmen;3;2,4 %;-;3;2,4 %;-
Gültige Stimmen;121;97,6 %;-;121;97,6 %;-
SPD;26;21,5 %;-;26;21,5 %;-
AfD;54;44,6 %;-;50;41,3 %;-
CDU;16;13,2 %;-;12;9,9 %;-
GRÜNE/B 90;5;4,1 %;-;6;5,0 %;-
DIE LINKE;10;8,3 %;-;3;2,5 %;-
BVB / FREIE WÄHLER;6;5,0 %;-;7;5,8 %;-
FDP;4;3,3 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;16;13,2 %;-
III. Weg;0;0,0 %;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,8 %;-
WU;-;-;-;0;0,0 %;-
