Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;350;-;-;350;-;-
Wählende;194;55,4 %;-;194;55,4 %;-
Ungültige Stimmen;2;1,0 %;-;0;0,0 %;-
Gültige Stimmen;192;99,0 %;-;194;100,0 %;-
SPD;57;29,7 %;-;42;21,6 %;-
AfD;95;49,5 %;-;87;44,8 %;-
CDU;25;13,0 %;-;28;14,4 %;-
GRÜNE/B 90;2;1,0 %;-;2;1,0 %;-
DIE LINKE;2;1,0 %;-;3;1,5 %;-
BVB / FREIE WÄHLER;8;4,2 %;-;4;2,1 %;-
FDP;2;1,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;-;-;-;1;0,5 %;-
BSW;-;-;-;24;12,4 %;-
III. Weg;1;0,5 %;-;1;0,5 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;1,0 %;-
WU;-;-;-;0;0,0 %;-
