Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;508;-;-;508;-;-
Wählende;309;60,8 %;-;309;60,8 %;-
Ungültige Stimmen;6;1,9 %;-;2;0,6 %;-
Gültige Stimmen;303;98,1 %;-;307;99,4 %;-
SPD;90;29,7 %;-;71;23,1 %;-
AfD;133;43,9 %;-;123;40,1 %;-
CDU;54;17,8 %;-;51;16,6 %;-
GRÜNE/B 90;2;0,7 %;-;4;1,3 %;-
DIE LINKE;13;4,3 %;-;8;2,6 %;-
BVB / FREIE WÄHLER;10;3,3 %;-;3;1,0 %;-
FDP;1;0,3 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;7;2,3 %;-
Plus;-;-;-;1;0,3 %;-
BSW;-;-;-;37;12,1 %;-
III. Weg;0;0,0 %;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;0,7 %;-
WU;-;-;-;0;0,0 %;-
