Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;656;-;-;656;-;-
Wählende;363;55,3 %;-;363;55,3 %;-
Ungültige Stimmen;12;3,3 %;-;8;2,2 %;-
Gültige Stimmen;351;96,7 %;-;355;97,8 %;-
SPD;84;23,9 %;-;72;20,3 %;-
AfD;176;50,1 %;-;166;46,8 %;-
CDU;44;12,5 %;-;41;11,5 %;-
GRÜNE/B 90;0;0,0 %;-;2;0,6 %;-
DIE LINKE;21;6,0 %;-;9;2,5 %;-
BVB / FREIE WÄHLER;20;5,7 %;-;9;2,5 %;-
FDP;5;1,4 %;-;2;0,6 %;-
Tierschutzpartei;-;-;-;7;2,0 %;-
Plus;-;-;-;3;0,8 %;-
BSW;-;-;-;39;11,0 %;-
III. Weg;1;0,3 %;-;1;0,3 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;4;1,1 %;-
WU;-;-;-;0;0,0 %;-
