Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;726;-;-;726;-;-
Wählende;334;46,0 %;-36;334;46,0 %;-36
Ungültige Stimmen;2;0,6 %;-06;1;0,3 %;-17
Gültige Stimmen;332;99,4 %;+06;333;99,7 %;+17
SPD;79;23,8 %;+41;60;18,0 %;-03
AfD;186;56,0 %;+349;177;53,2 %;+291
CDU;34;10,2 %;-75;35;10,5 %;-95
GRÜNE/B 90;1;0,3 %;-44;5;1,5 %;-36
DIE LINKE;12;3,6 %;-55;9;2,7 %;-70
BVB / FREIE WÄHLER;18;5,4 %;-209;11;3,3 %;-145
FDP;1;0,3 %;-12;1;0,3 %;-18
Tierschutzpartei;-;-;-;4;1,2 %;-05
Plus;-;-;-;1;0,3 %;-07
BSW;-;-;-;30;9,0 %;+90
III. Weg;1;0,3 %;+03;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;0;0,0 %;00
WU;-;-;-;0;0,0 %;00
