Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;267;-;-;267;-;-
Wählende;175;65,5 %;-;175;65,5 %;-
Ungültige Stimmen;5;2,9 %;-;3;1,7 %;-
Gültige Stimmen;170;97,1 %;-;172;98,3 %;-
SPD;45;26,5 %;-;40;23,3 %;-
AfD;79;46,5 %;-;67;39,0 %;-
CDU;32;18,8 %;-;24;14,0 %;-
GRÜNE/B 90;0;0,0 %;-;1;0,6 %;-
DIE LINKE;9;5,3 %;-;3;1,7 %;-
BVB / FREIE WÄHLER;4;2,4 %;-;3;1,7 %;-
FDP;1;0,6 %;-;1;0,6 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;30;17,4 %;-
III. Weg;0;0,0 %;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;1,2 %;-
WU;-;-;-;1;0,6 %;-
