Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;904;-;-;904;-;-
Wählende;510;56,4 %;+70;510;56,4 %;+70
Ungültige Stimmen;16;3,1 %;+12;10;2,0 %;+02
Gültige Stimmen;494;96,9 %;-12;500;98,0 %;-02
SPD;152;30,8 %;+76;138;27,6 %;+48
AfD;203;41,1 %;+113;181;36,2 %;+65
CDU;83;16,8 %;-84;67;13,4 %;-112
GRÜNE/B 90;3;0,6 %;-39;4;0,8 %;-49
DIE LINKE;11;2,2 %;-67;8;1,6 %;-66
BVB / FREIE WÄHLER;35;7,1 %;+06;16;3,2 %;-17
FDP;5;1,0 %;-10;1;0,2 %;-16
Tierschutzpartei;-;-;-;7;1,4 %;-06
Plus;-;-;-;2;0,4 %;+01
BSW;-;-;-;73;14,6 %;+146
III. Weg;2;0,4 %;+04;2;0,4 %;+04
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;1;0,2 %;+02
WU;-;-;-;0;0,0 %;00
