Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;101;-;-;101;-;-
Wählende;65;64,4 %;-;65;64,4 %;-
Ungültige Stimmen;4;6,2 %;-;3;4,6 %;-
Gültige Stimmen;61;93,8 %;-;62;95,4 %;-
SPD;11;18,0 %;-;8;12,9 %;-
AfD;27;44,3 %;-;27;43,5 %;-
CDU;12;19,7 %;-;14;22,6 %;-
GRÜNE/B 90;0;0,0 %;-;1;1,6 %;-
DIE LINKE;10;16,4 %;-;2;3,2 %;-
BVB / FREIE WÄHLER;1;1,6 %;-;1;1,6 %;-
FDP;0;0,0 %;-;1;1,6 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;7;11,3 %;-
III. Weg;0;0,0 %;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;1,6 %;-
WU;-;-;-;0;0,0 %;-
