Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;138;-;-;138;-;-
Wählende;105;76,1 %;-;105;76,1 %;-
Ungültige Stimmen;2;1,9 %;-;0;0,0 %;-
Gültige Stimmen;103;98,1 %;-;105;100,0 %;-
SPD;28;27,2 %;-;27;25,7 %;-
AfD;48;46,6 %;-;42;40,0 %;-
CDU;14;13,6 %;-;13;12,4 %;-
GRÜNE/B 90;1;1,0 %;-;0;0,0 %;-
DIE LINKE;2;1,9 %;-;2;1,9 %;-
BVB / FREIE WÄHLER;9;8,7 %;-;6;5,7 %;-
FDP;1;1,0 %;-;1;1,0 %;-
Tierschutzpartei;-;-;-;2;1,9 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;12;11,4 %;-
III. Weg;0;0,0 %;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
