Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;221;-;-;221;-;-
Wählende;118;53,4 %;-56;118;53,4 %;-56
Ungültige Stimmen;2;1,7 %;+11;1;0,8 %;+00
Gültige Stimmen;116;98,3 %;-11;117;99,2 %;-00
SPD;45;38,8 %;+169;43;36,8 %;+157
AfD;49;42,2 %;+93;50;42,7 %;+91
CDU;11;9,5 %;-168;12;10,3 %;-148
GRÜNE/B 90;1;0,9 %;-42;1;0,9 %;-34
DIE LINKE;2;1,7 %;-38;1;0,9 %;-43
BVB / FREIE WÄHLER;6;5,2 %;-20;5;4,3 %;-15
FDP;1;0,9 %;-02;1;0,9 %;-13
Tierschutzpartei;-;-;-;0;0,0 %;-23
Plus;-;-;-;0;0,0 %;-02
BSW;-;-;-;4;3,4 %;+34
III. Weg;1;0,9 %;+09;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;0;0,0 %;00
WU;-;-;-;0;0,0 %;00
