Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;725;-;-;725;-;-
Wählende;417;57,5 %;+107;417;57,5 %;+107
Ungültige Stimmen;6;1,4 %;-05;6;1,4 %;-08
Gültige Stimmen;411;98,6 %;+05;411;98,6 %;+08
SPD;105;25,5 %;-46;96;23,4 %;-17
AfD;209;50,9 %;+195;176;42,8 %;+105
CDU;43;10,5 %;-07;34;8,3 %;-50
GRÜNE/B 90;5;1,2 %;-48;8;1,9 %;-50
DIE LINKE;22;5,4 %;-73;6;1,5 %;-109
BVB / FREIE WÄHLER;22;5,4 %;-15;11;2,7 %;-14
FDP;3;0,7 %;-10;0;0,0 %;-17
Tierschutzpartei;-;-;-;7;1,7 %;-12
Plus;-;-;-;1;0,2 %;-09
BSW;-;-;-;64;15,6 %;+156
III. Weg;2;0,5 %;+05;3;0,7 %;+07
DKP;-;-;-;1;0,2 %;+02
DLW;-;-;-;1;0,2 %;+02
WU;-;-;-;3;0,7 %;+07
