Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.256;-;-;1.256;-;-
Wählende;554;44,1 %;-;554.0;44,1 %;-
Ungültige Stimmen;9;1,6 %;-;4.0;0,7 %;-
Gültige Stimmen;545;98,4 %;-;550.0;99,3 %;-
SPD;218;40,0 %;-;181.0;32,9 %;-
AfD;230;42,2 %;-;212.0;38,5 %;-
CDU;34;6,2 %;-;32.0;5,8 %;-
GRÜNE/B 90;6;1,1 %;-;3.0;0,5 %;-
DIE LINKE;21;3,9 %;-;10.0;1,8 %;-
BVB / FREIE WÄHLER;31;5,7 %;-;18.0;3,3 %;-
FDP;4;0,7 %;-;1.0;0,2 %;-
Tierschutzpartei;-;-;-;9.0;1,6 %;-
Plus;-;-;-;3.0;0,5 %;-
BSW;-;-;-;78.0;14,2 %;-
III. Weg;1;0,2 %;-;0.0;0,0 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;-;-;-;2.0;0,4 %;-
WU;-;-;-;1.0;0,2 %;-
