Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.192;-;-;1.192;-;-
Wählende;572;48,0 %;-;572.0;48,0 %;-
Ungültige Stimmen;7;1,2 %;-;5.0;0,9 %;-
Gültige Stimmen;565;98,8 %;-;567.0;99,1 %;-
SPD;241;42,7 %;-;225.0;39,7 %;-
AfD;199;35,2 %;-;169.0;29,8 %;-
CDU;70;12,4 %;-;62.0;10,9 %;-
GRÜNE/B 90;3;0,5 %;-;6.0;1,1 %;-
DIE LINKE;21;3,7 %;-;7.0;1,2 %;-
BVB / FREIE WÄHLER;28;5,0 %;-;12.0;2,1 %;-
FDP;3;0,5 %;-;3.0;0,5 %;-
Tierschutzpartei;-;-;-;5.0;0,9 %;-
Plus;-;-;-;0.0;0,0 %;-
BSW;-;-;-;76.0;13,4 %;-
III. Weg;0;0,0 %;-;0.0;0,0 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;-;-;-;1.0;0,2 %;-
WU;-;-;-;1.0;0,2 %;-
