Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;723;-;-;723;-;-
Wählende;426;58,9 %;-;426;58,9 %;-
Ungültige Stimmen;2;0,5 %;-;1;0,2 %;-
Gültige Stimmen;424;99,5 %;-;425;99,8 %;-
SPD;116;27,4 %;-;105;24,7 %;-
AfD;218;51,4 %;-;205;48,2 %;-
CDU;55;13,0 %;-;51;12,0 %;-
GRÜNE/B 90;1;0,2 %;-;4;0,9 %;-
DIE LINKE;7;1,7 %;-;6;1,4 %;-
BVB / FREIE WÄHLER;25;5,9 %;-;12;2,8 %;-
FDP;2;0,5 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;6;1,4 %;-
Plus;-;-;-;1;0,2 %;-
BSW;-;-;-;33;7,8 %;-
III. Weg;0;0,0 %;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;0,5 %;-
WU;-;-;-;0;0,0 %;-
