Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;541;-;-;541;-;-
Wählende;317;58,6 %;-;317;58,6 %;-
Ungültige Stimmen;5;1,6 %;-;1;0,3 %;-
Gültige Stimmen;312;98,4 %;-;316;99,7 %;-
SPD;103;33,0 %;-;97;30,7 %;-
AfD;133;42,6 %;-;114;36,1 %;-
CDU;31;9,9 %;-;20;6,3 %;-
GRÜNE/B 90;3;1,0 %;-;8;2,5 %;-
DIE LINKE;6;1,9 %;-;4;1,3 %;-
BVB / FREIE WÄHLER;30;9,6 %;-;21;6,6 %;-
FDP;6;1,9 %;-;5;1,6 %;-
Tierschutzpartei;-;-;-;6;1,9 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;39;12,3 %;-
III. Weg;0;0,0 %;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,3 %;-
WU;-;-;-;1;0,3 %;-
