Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;87;-;-;87;-;-
Wählende;58;66,7 %;-;58;66,7 %;-
Ungültige Stimmen;0;0,0 %;-;0;0,0 %;-
Gültige Stimmen;58;100,0 %;-;58;100,0 %;-
SPD;13;22,4 %;-;10;17,2 %;-
AfD;30;51,7 %;-;26;44,8 %;-
CDU;8;13,8 %;-;5;8,6 %;-
GRÜNE/B 90;0;0,0 %;-;0;0,0 %;-
DIE LINKE;1;1,7 %;-;1;1,7 %;-
BVB / FREIE WÄHLER;6;10,3 %;-;1;1,7 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;1;1,7 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;14;24,1 %;-
III. Weg;0;0,0 %;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
