Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;627;-;-;627;-;-
Wählende;354;56,5 %;-;354;56,5 %;-
Ungültige Stimmen;9;2,5 %;-;7;2,0 %;-
Gültige Stimmen;345;97,5 %;-;347;98,0 %;-
SPD;71;20,6 %;-;70;20,2 %;-
AfD;203;58,8 %;-;178;51,3 %;-
CDU;34;9,9 %;-;31;8,9 %;-
GRÜNE/B 90;0;0,0 %;-;1;0,3 %;-
DIE LINKE;8;2,3 %;-;7;2,0 %;-
BVB / FREIE WÄHLER;28;8,1 %;-;10;2,9 %;-
FDP;1;0,3 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;6;1,7 %;-
Plus;-;-;-;2;0,6 %;-
BSW;-;-;-;40;11,5 %;-
III. Weg;0;0,0 %;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;0,6 %;-
WU;-;-;-;0;0,0 %;-
