Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;163;-;-;163;-;-
Wählende;97;59,5 %;-;97;59,5 %;-
Ungültige Stimmen;1;1,0 %;-;0;0,0 %;-
Gültige Stimmen;96;99,0 %;-;97;100,0 %;-
SPD;30;31,2 %;-;27;27,8 %;-
AfD;39;40,6 %;-;37;38,1 %;-
CDU;11;11,5 %;-;10;10,3 %;-
GRÜNE/B 90;1;1,0 %;-;0;0,0 %;-
DIE LINKE;7;7,3 %;-;3;3,1 %;-
BVB / FREIE WÄHLER;8;8,3 %;-;4;4,1 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;1;1,0 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;15;15,5 %;-
III. Weg;0;0,0 %;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
