Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;714;-;-;714;-;-
Wählende;319;44,7 %;-;319;44,7 %;-
Ungültige Stimmen;10;3,1 %;-;10;3,1 %;-
Gültige Stimmen;309;96,9 %;-;309;96,9 %;-
SPD;79;25,6 %;-;71;23,0 %;-
AfD;175;56,6 %;-;161;52,1 %;-
CDU;27;8,7 %;-;23;7,4 %;-
GRÜNE/B 90;3;1,0 %;-;6;1,9 %;-
DIE LINKE;4;1,3 %;-;1;0,3 %;-
BVB / FREIE WÄHLER;17;5,5 %;-;9;2,9 %;-
FDP;3;1,0 %;-;1;0,3 %;-
Tierschutzpartei;-;-;-;3;1,0 %;-
Plus;-;-;-;1;0,3 %;-
BSW;-;-;-;30;9,7 %;-
III. Weg;1;0,3 %;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;3;1,0 %;-
WU;-;-;-;0;0,0 %;-
