Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;369;-;-;369;-;-
Wählende;206;55,8 %;-;206;55,8 %;-
Ungültige Stimmen;7;3,4 %;-;5;2,4 %;-
Gültige Stimmen;199;96,6 %;-;201;97,6 %;-
SPD;65;32,7 %;-;57;28,4 %;-
AfD;78;39,2 %;-;72;35,8 %;-
CDU;38;19,1 %;-;32;15,9 %;-
GRÜNE/B 90;3;1,5 %;-;1;0,5 %;-
DIE LINKE;5;2,5 %;-;3;1,5 %;-
BVB / FREIE WÄHLER;10;5,0 %;-;6;3,0 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;6;3,0 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;15;7,5 %;-
III. Weg;0;0,0 %;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;9;4,5 %;-
WU;-;-;-;0;0,0 %;-
