Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;251;-;-;251;-;-
Wählende;138;55,0 %;-;138;55,0 %;-
Ungültige Stimmen;2;1,4 %;-;0;0,0 %;-
Gültige Stimmen;136;98,6 %;-;138;100,0 %;-
SPD;36;26,5 %;-;44;31,9 %;-
AfD;76;55,9 %;-;64;46,4 %;-
CDU;11;8,1 %;-;5;3,6 %;-
GRÜNE/B 90;2;1,5 %;-;2;1,4 %;-
DIE LINKE;0;0,0 %;-;0;0,0 %;-
BVB / FREIE WÄHLER;10;7,4 %;-;1;0,7 %;-
FDP;1;0,7 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;1;0,7 %;-
Plus;-;-;-;1;0,7 %;-
BSW;-;-;-;20;14,5 %;-
III. Weg;0;0,0 %;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
