Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;826;-;-;826;-;-
Wählende;382;46,2 %;-;382;46,2 %;-
Ungültige Stimmen;10;2,6 %;-;7;1,8 %;-
Gültige Stimmen;372;97,4 %;-;375;98,2 %;-
SPD;127;34,1 %;-;115;30,7 %;-
AfD;115;30,9 %;-;114;30,4 %;-
CDU;45;12,1 %;-;27;7,2 %;-
GRÜNE/B 90;8;2,2 %;-;18;4,8 %;-
DIE LINKE;35;9,4 %;-;24;6,4 %;-
BVB / FREIE WÄHLER;24;6,5 %;-;6;1,6 %;-
FDP;16;4,3 %;-;2;0,5 %;-
Tierschutzpartei;-;-;-;6;1,6 %;-
Plus;-;-;-;3;0,8 %;-
BSW;-;-;-;58;15,5 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;2;0,5 %;-
dieBasis;2;0,5 %;-;-;-;-
