Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;281;-;-;281;-;-
Wählende;179;63,7 %;-;179;63,7 %;-
Ungültige Stimmen;3;1,7 %;-;4;2,2 %;-
Gültige Stimmen;176;98,3 %;-;175;97,8 %;-
SPD;57;32,4 %;-;53;30,3 %;-
AfD;58;33,0 %;-;53;30,3 %;-
CDU;37;21,0 %;-;24;13,7 %;-
GRÜNE/B 90;4;2,3 %;-;7;4,0 %;-
DIE LINKE;9;5,1 %;-;5;2,9 %;-
BVB / FREIE WÄHLER;4;2,3 %;-;0;0,0 %;-
FDP;7;4,0 %;-;4;2,3 %;-
Tierschutzpartei;-;-;-;1;0,6 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;26;14,9 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;1,1 %;-
WU;-;-;-;0;0,0 %;-
dieBasis;0;0,0 %;-;-;-;-
