Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;923;-;-;923;-;-
Wählende;357;38,7 %;-;357;38,7 %;-
Ungültige Stimmen;6;1,7 %;-;7;2,0 %;-
Gültige Stimmen;351;98,3 %;-;350;98,0 %;-
SPD;96;27,4 %;-;104;29,7 %;-
AfD;100;28,5 %;-;86;24,6 %;-
CDU;36;10,3 %;-;24;6,9 %;-
GRÜNE/B 90;4;1,1 %;-;10;2,9 %;-
DIE LINKE;31;8,8 %;-;16;4,6 %;-
BVB / FREIE WÄHLER;79;22,5 %;-;45;12,9 %;-
FDP;3;0,9 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;6;1,7 %;-
Plus;-;-;-;7;2,0 %;-
BSW;-;-;-;48;13,7 %;-
III. Weg;-;-;-;2;0,6 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;0,6 %;-
WU;-;-;-;0;0,0 %;-
dieBasis;2;0,6 %;-;-;-;-
EB Link;0;0,0 %;-;-;-;-
