Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;773;-;-;773;-;-
Wählende;438;56,7 %;-;438;56,7 %;-
Ungültige Stimmen;1;0,2 %;-;0;0,0 %;-
Gültige Stimmen;437;99,8 %;-;438;100,0 %;-
SPD;105;24,0 %;-;137;31,3 %;-
AfD;121;27,7 %;-;125;28,5 %;-
CDU;29;6,6 %;-;36;8,2 %;-
GRÜNE/B 90;10;2,3 %;-;17;3,9 %;-
DIE LINKE;22;5,0 %;-;11;2,5 %;-
BVB / FREIE WÄHLER;148;33,9 %;-;57;13,0 %;-
FDP;2;0,5 %;-;2;0,5 %;-
Tierschutzpartei;-;-;-;8;1,8 %;-
Plus;-;-;-;6;1,4 %;-
BSW;-;-;-;38;8,7 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,2 %;-
WU;-;-;-;0;0,0 %;-
dieBasis;0;0,0 %;-;-;-;-
EB Link;0;0,0 %;-;-;-;-
