Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;855;-;-;855;-;-
Wählende;465;54,4 %;-;465;54,4 %;-
Ungültige Stimmen;4;0,9 %;-;4;0,9 %;-
Gültige Stimmen;461;99,1 %;-;461;99,1 %;-
SPD;98;21,3 %;-;121;26,2 %;-
AfD;147;31,9 %;-;146;31,7 %;-
CDU;45;9,8 %;-;32;6,9 %;-
GRÜNE/B 90;12;2,6 %;-;18;3,9 %;-
DIE LINKE;24;5,2 %;-;13;2,8 %;-
BVB / FREIE WÄHLER;126;27,3 %;-;55;11,9 %;-
FDP;5;1,1 %;-;4;0,9 %;-
Tierschutzpartei;-;-;-;10;2,2 %;-
Plus;-;-;-;3;0,7 %;-
BSW;-;-;-;53;11,5 %;-
III. Weg;-;-;-;2;0,4 %;-
DKP;-;-;-;1;0,2 %;-
DLW;-;-;-;1;0,2 %;-
WU;-;-;-;2;0,4 %;-
dieBasis;2;0,4 %;-;-;-;-
EB Link;2;0,4 %;-;-;-;-
